# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
kt-tunstall--black-horse-and-the-cherry-tree|3120612|171|104.7|Black Horse And The Cherry Tree (Radio Version)
kyuss--demon-cleaner|3660485|311|101.8|Demon Cleaner
la-slum-lords--down-n-dirty|||0|
lacuna-coil--closer|108572718|181|130|Closer
lacuna-coil--our-truth|108572706|243|102.1|Our Truth
lamb-of-god--laid-to-rest|2954720791|233|0|Laid to Rest
lenny-kravitz--are-you-gonna-go-my-way|3107395|210|0|Are You Gonna Go My Way
lenny-kravitz--rock-and-roll-is-dead|3129590|202|0|Rock And Roll Is Dead
lenny-kravitz-and-slash--always-on-the-run|||0|
lily-allen--take-what-you-take|3165202|246|99.9|Take What You Take
limozeen--because-its-midnite|||0|
linkin-park--bleed-it-out|676840|164|0|Bleed It Out
linkin-park--wastelands|79587426|195|170.1|Wastelands
linkin-park--what-ive-done|676847|205|0|What I've Done
lions--metal-heavy-lady|981186102|163|0|Metal Heavy Lady
living-colour--cult-of-personality|2485821|294|97.3|Cult of Personality (2023 Remaster)
los-lobos--la-bamba|705770|175|156.6|La Bamba
lostprophets--rooftops-a-liberation-broadcast|2834078572|251|0|ROOFTOPS (A LIBERATION BROADCAST)
love-and-rockets--mirror-people|941529|245|0|Mirror People
lynyrd-skynyrd--call-me-the-breeze|24949751|309|92.9|Call Me The Breeze
lynyrd-skynyrd--free-bird|1559717|548|150.3|Free Bird
lynyrd-skynyrd--sweet-home-alabama|24949681|284|195.9|Sweet Home Alabama
lynyrd-skynyrd--tuesdays-gone|1761422807|452|0|Tuesday's Gone
machine-head--beautiful-mourning|||0|
made-in-mexico--farewell-myth|||0|
made-in-mexico--yes-we-can|||0|
maroon-5--she-will-be-loved|1165303|257|102.1|She Will Be Loved
marvin-gaye--i-heard-it-through-the-grapevine|709960012|190|117.5|I Heard It Through The Grapevine
mastodon--blood-and-thunder|10969975|228|186.2|Blood and Thunder
matchbook-romance--monsters|378297761|243|115.2|Monsters
matthew-sweet--girlfriend|548586|220|120.2|Girlfriend
mc5--kick-out-the-jams|10901888|76|155.4|Kick Out the Jams
megadeth--hangar-18|3339545|312|0|Hangar 18
megadeth--holy-wars-the-punishment-due|3121517|390|125.3|Holy Wars...The Punishment Due
megadeth--sudden-death|3786051992|309|0|Sudden Death
megadeth--sweating-bullets|3089037|326|164.7|Sweating Bullets (Remastered 2004)
megadeth--symphony-of-destruction|61382107|243|140.1|Symphony Of Destruction (Remastered 2012)
megadeth--this-day-we-fight|3785275282|207|0|This Day We Fight!
megasus--red-lottery|||0|
mercyful-fate--evil|2501164531|285|0|Evil (2005 Remaster by Ted Jensen)
metallica--all-nightmare-long|2114257|481|168.8|All Nightmare Long
metallica--battery|424565222|312|191.4|Battery
metallica--broken-beat-and-scarred|2114255|385|117.1|Broken, Beat & Scarred
metallica--creeping-death|69748051|448|115.8|Creeping Death (Live In Mexico City)
metallica--cyanide|2114258|401|132.9|Cyanide
metallica--disposable-heroes|424565262|496|175.9|Disposable Heroes
metallica--dyers-eve|575867662|313|193.2|Dyers Eve
metallica--enter-sandman|1483825212|331|0|Enter Sandman (Remastered 2021)
metallica--fade-to-black|136338506|417|112.4|Fade To Black (Remastered)
metallica--fight-fire-with-fire|136338498|284|179.8|Fight Fire With Fire (Remastered)
metallica--for-whom-the-bell-tolls|136338504|310|117.8|For Whom The Bell Tolls (Remastered)
metallica--frantic|2114019|350|162.1|Frantic
metallica--fuel|2114514|269|107.4|Fuel
metallica--hit-the-lights|136332686|257|160.3|Hit The Lights (Remastered)
metallica--king-nothing|3407660541|330|0|King Nothing (Remastered)
metallica--master-of-puppets|424565232|515|105.7|Master Of Puppets
metallica--mercyful-fate|2114568|671|138.7|Mercyful Fate
metallica--my-apocalypse|2114262|301|200.7|My Apocalypse
metallica--no-leaf-clover|2114664|343|152.6|No Leaf Clover (Live)
metallica--nothing-else-matters|1483825282|389|0|Nothing Else Matters (Remastered 2021)
metallica--one|575867572|446|111.1|One
metallica--orion|424565282|507|128|Orion
metallica--sad-but-true|1483825222|324|0|Sad But True (Remastered 2021)
metallica--seek-and-destroy|136332702|415|142.1|Seek & Destroy (Remastered)
metallica--the-memory-remains|2114515|279|144.6|The Memory Remains
metallica--the-shortest-straw|575867582|395|147.1|The Shortest Straw
metallica--the-thing-that-should-not-be|424565242|396|111.4|The Thing That Should Not Be
metallica--the-unforgiven|1483825242|385|0|The Unforgiven (Remastered 2021)
metallica--trapped-under-ice|136338508|244|160.9|Trapped Under Ice (Remastered)
metallica--welcome-home-sanitarium|424565252|387|108.5|Welcome Home (Sanitarium)
metallica--wherever-i-may-roam|1483825252|403|0|Wherever I May Roam (Remastered 2021)
metallica--whiplash|136332696|249|157.8|Whiplash (Remastered)
michael-jackson--beat-it|4763165|258|138.7|Beat It
michael-schenker-group--armed-and-ready|1787647747|249|0|Armed and Ready (2000 Remaster)
modest-mouse--float-on|581923|208|100.8|Float On
monkey-steals-the-peach--guitar-hero|||0|
motley-crue--looks-that-kill|3802971372|249|0|Looks That Kill
motley-crue--shout-at-the-devil|3786101942|196|0|Shout at the Devil
motorhead--ace-of-spades|5169799|166|139.7|Ace of Spades
motorhead--overkill|3771860642|313|0|Overkill
mott-the-hoople--all-the-young-dudes|13149413|212|156|All the Young Dudes
mountain--mississippi-queen|608589|151|139.2|Mississippi Queen
