# id | duração no LRCLIB (s) | letra (1 tem, 0 não achou, i instrumental). Gerado por tools/data/fetch-lrclib.mjs.
the-charlie-daniels-band--the-devil-went-down-to-georgia|217|1
the-clash--complete-control|194|1
the-clash--safe-european-home|231|1
the-cult--love-removal-machine|258|1
the-cult--she-sells-sanctuary|263|1
the-cure--fascination-street|262|1
the-derek-trucks-band--younk-funk||0
the-dillinger-escape-plan--setting-fire-to-sleeping-giants|208|1
the-donnas--take-it-off|160|1
the-doors--love-me-two-times|195|1
the-duke-spirit--send-a-little-love-token|158|1
the-edgar-winter-group--frankenstein|286|i
the-edgar-winter-group--free-ride|188|1
the-enemy--aggro|203|1
the-exies--hey-you|239|1
the-fall-of-troy--fcpremix|238|1
the-gaslight-anthem--45|208|1
the-go-gos--our-lips-are-sealed|164|1
the-go-gos--we-got-the-beat|151|1
the-guess-who--american-woman|308|1
the-hives--tick-tick-boom|220|1
the-jackson-5--abc|176|1
the-jimi-hendrix-experience--purple-haze|171|1
the-jimi-hendrix-experience--spanish-castle-magic|350|1
the-jimi-hendrix-experience--the-wind-cries-mary|201|1
the-killers--all-the-pretty-faces|286|1
the-killers--when-you-were-young|219|1
the-kinks--all-day-and-all-of-the-night|140|1
the-kooks--naive|203|1
the-last-goodnight--pictures-of-you|190|1
the-last-vegas--raw-dog|211|1
the-living-end--carry-me-home|192|1
the-living-end--prisoner-of-society|229|1
the-lumineers--ho-hey|165|1
the-mars-volta--lvia-lviaquez|742|1
the-mighty-mighty-bosstones--the-impression-that-i-get|195|1
the-model-sons--story-of-my-love||0
the-neighborhoods--parasite|204|1
the-offspring--pretty-fly-for-a-white-guy|189|1
the-offspring--self-esteem|261|1
the-police--message-in-a-bottle|291|1
the-police--so-lonely|288|1
the-police--synchronicity-ii|305|1
the-pretenders--tattooed-love-boys|179|1
the-raconteurs--steady-as-she-goes|215|1
the-rolling-stones--cant-you-hear-me-knockin|436|1
the-rolling-stones--honky-tonk-women|181|1
the-rolling-stones--paint-it-black|204|1
the-rolling-stones--stray-cat-blues|278|1
the-rolling-stones--sympathy-for-the-devil|378|1
the-romantics--what-i-like-about-you|177|1
the-runaways--cherry-bomb|139|1
the-sleeping--dont-hold-back|273|1
the-slip--even-rats|358|1
the-smashing-pumpkins--bullet-with-butterfly-wings|258|1
the-smashing-pumpkins--cherub-rock|300|1
the-smashing-pumpkins--today|201|1
the-stone-roses--love-spreads|349|1
the-stone-roses--she-bangs-the-drums|225|1
the-strokes--reptilia|223|1
the-sword--freya|276|1
the-sword--maiden-mother-and-crone|239|1
the-sword--the-black-river|353|1
the-turtles--happy-together|177|1
the-upper-crust--eureka-ive-found-love|176|1
the-vapors--turning-japanese|226|1
the-vines--get-free|125|1
the-white-stripes--blue-orchid|158|1
the-white-stripes--seven-nation-army|232|1
the-who--the-seeker|190|1
the-who--wont-get-fooled-again|514|1
them-crooked-vultures--scumbag-blues|266|1
thin-lizzy--bad-reputation|187|1
thin-lizzy--jailbreak|244|1
thin-lizzy--the-boys-are-back-in-town|268|1
third-eye-blind--graduate|192|1
third-eye-blind--semi-charmed-life|33|1
thirty-seconds-to-mars--the-kill|232|1
thrice--deadbolt|180|1
toadies--possum-kingdom|308|1
tokio-hotel--monsoon|241|1
tom-petty--runnin-down-a-dream|263|1
tom-petty-and-the-heartbreakers--american-girl|209|1
tom-petty-and-the-heartbreakers--listen-to-her-heart|183|1
tonic--if-you-could-only-see|264|1
tool--parabola|609|1
tool--schism|405|1
tool--vicarious|427|1
trust--antisocial|312|1
tv-on-the-radio--wolf-like-me|279|1
twisted-sister--i-wanna-rock|180|1
twisted-sister--were-not-gonna-take-it|218|1
